timestamp,measurements.cluster_memory_usage_rss_total
1698562800,93735653376.0
1698562815,93773635584.0
1698562830,93607755776.0
1698562845,93566263296.0
1698562860,93099159552.0
1698562875,92629274624.0
1698562890,92710813696.0
1698562905,92585607168.0
1698562920,93185138688.0
1698562935,92880412672.0
1698562950,92922884096.0
1698562965,92631646208.0
1698562980,92635709440.0
1698562995,92674224128.0
1698563010,92210102272.0
1698563025,92274540544.0
1698563040,91965612032.0
1698563055,91988271104.0
1698563070,91622912000.0
1698563085,91877220352.0
1698563100,92095918080.0
1698563115,91753140224.0
1698563130,90921975808.0
1698563145,91356262400.0
1698563160,91927314432.0
1698563175,91983634432.0
1698563190,91747966976.0
1698563205,91674550272.0
1698563220,91853729792.0
1698563235,91878006784.0
1698563250,92040290304.0
1698563265,92038610944.0
1698563280,91728556032.0
1698563295,91739033600.0
1698563310,92040544256.0
1698563325,92094767104.0
1698563340,92031680512.0
1698563355,92079362048.0
1698563370,91736588288.0
1698563385,91720761344.0
1698563400,91946520576.0
1698563415,91945545728.0
1698563430,92355506176.0
1698563445,92389793792.0
1698563460,92000387072.0
1698563475,91975323648.0
1698563490,92212809728.0
1698563505,92272095232.0
1698563520,92593332224.0
1698563535,92498538496.0
1698563550,92309749760.0
1698563565,92337692672.0
1698563580,92223025152.0
1698563595,92218085376.0
1698563610,92540166144.0
1698563625,92562518016.0
1698563640,92593704960.0
1698563655,92615258112.0
1698563670,92787073024.0
1698563685,92899577856.0
1698563700,92749586432.0
